time,open,high,low,close,volume
2025-10-02 14:45:00+00:00,668.39,668.39,667.73,668.06,14286
2025-10-02 14:50:00+00:00,668.02,668.025,667.61,667.61,12106
2025-10-02 14:55:00+00:00,667.7,667.88,667.57,667.57,18255
2025-10-02 15:00:00+00:00,667.57,667.7,667.04,667.13,22300
2025-10-02 15:05:00+00:00,667.09,667.855,667.09,667.83,20969
2025-10-02 15:10:00+00:00,667.86,668.08,667.27,667.43,14118
2025-10-02 15:15:00+00:00,667.39,667.46,667.21,667.415,7899
2025-10-02 15:20:00+00:00,667.26,667.85,667.25,667.85,6481
2025-10-02 15:25:00+00:00,667.75,667.92,667.63,667.69,13363
2025-10-02 15:30:00+00:00,667.6,667.62,667.285,667.3,11534
2025-10-02 15:35:00+00:00,667.32,667.39,666.815,667.3,10788
2025-10-02 15:40:00+00:00,667.365,667.67,667.29,667.355,13024
2025-10-02 15:45:00+00:00,667.325,667.54,667.21,667.36,8578
2025-10-02 15:50:00+00:00,667.45,668.05,667.44,668.05,7011
2025-10-02 15:55:00+00:00,668.065,668.4,668.065,668.35,12485
2025-10-02 16:00:00+00:00,668.33,668.33,668.055,668.08,12611
2025-10-02 16:05:00+00:00,668.06,668.08,667.65,667.925,5743
2025-10-02 16:10:00+00:00,667.87,668.05,667.72,668.05,8711
2025-10-02 16:15:00+00:00,668.08,668.22,667.985,668.19,6566
2025-10-02 16:20:00+00:00,668.08,668.08,667.9,667.985,5641
2025-10-02 16:25:00+00:00,668.02,668.21,667.86,668.09,5821
2025-10-02 16:30:00+00:00,668.07,668.18,667.98,668.18,5765
2025-10-02 16:35:00+00:00,668.21,668.3,667.95,668.075,5208
2025-10-02 16:40:00+00:00,667.97,668.05,667.56,667.93,7338
2025-10-02 16:45:00+00:00,667.9,668.17,667.88,668.075,6863
2025-10-02 16:50:00+00:00,668.105,668.58,668.105,668.535,8137
2025-10-02 16:55:00+00:00,668.5,668.515,668.29,668.42,5621
2025-10-02 17:00:00+00:00,668.37,668.37,667.955,668.075,7275
2025-10-02 17:05:00+00:00,668.06,668.36,668.06,668.22,5962
2025-10-02 17:10:00+00:00,668.22,668.47,668.18,668.45,6272
2025-10-02 17:15:00+00:00,668.46,668.5,668.28,668.28,6680
2025-10-02 17:20:00+00:00,668.32,668.57,668.28,668.57,5563
2025-10-02 17:25:00+00:00,668.525,668.69,668.46,668.515,10431
2025-10-02 17:30:00+00:00,668.495,668.64,668.35,668.63,6669
2025-10-02 17:35:00+00:00,668.6,668.67,668.51,668.67,4121
2025-10-02 17:40:00+00:00,668.68,669.075,668.68,668.86,14579
2025-10-02 17:45:00+00:00,668.85,668.995,668.655,668.735,12949
2025-10-02 17:50:00+00:00,668.75,668.96,668.75,668.96,15305
2025-10-02 17:55:00+00:00,668.85,668.955,668.76,668.9,8867
2025-10-02 18:00:00+00:00,668.93,669.03,668.925,668.985,7745
2025-10-02 18:05:00+00:00,669.035,669.175,669.0,669.16,12584
2025-10-02 18:10:00+00:00,669.12,669.505,669.12,669.42,9759
2025-10-02 18:15:00+00:00,669.415,669.495,669.355,669.48,8672
2025-10-02 18:20:00+00:00,669.515,669.63,669.515,669.61,18660
2025-10-02 18:25:00+00:00,669.59,669.67,669.42,669.55,6785
2025-10-02 18:30:00+00:00,669.55,669.71,669.5,669.6,10909
2025-10-02 18:35:00+00:00,669.585,669.64,669.48,669.64,5104
2025-10-02 18:40:00+00:00,669.62,669.62,669.395,669.53,9082
2025-10-02 18:45:00+00:00,669.5,669.525,669.32,669.47,8974
2025-10-02 18:50:00+00:00,669.46,669.53,669.24,669.5,10886
2025-10-02 18:55:00+00:00,669.515,669.575,669.38,669.405,14875
2025-10-02 19:00:00+00:00,669.425,669.58,669.37,669.55,8531
